"Message ID";"Date";"Auteur";"Detecteur";"Run";"Faisceau";"Energie";"Seuil0";"Seuil1";"Evenements";"Absorbeur";"HV";"Gaz";"PositionX";"OK";"Text"
25335;Tue  02 Oct 2018 03:35:39 +0200;"yvan";"m3";"743997";"e+";"40 GeV";;;"started";;"6.6";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.81     293.75 "
25334;Tue  02 Oct 2018 03:16:35 +0200;"yvan";"m3";"743996";"e+";"40 GeV";;;"started";;"6.5";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.66     293.75 "
25333;Tue  02 Oct 2018 03:10:48 +0200;"SPS_ZOZO10_2018";;"743995";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25332;Tue  02 Oct 2018 02:49:59 +0200;"yvan";"m3";"743994";"e+";"40 GeV";;;"started";;"6.4";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.65     293.85"
25331;Tue  02 Oct 2018 02:37:33 +0200;"SPS_ZOZO10_2018";;"743993";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25330;Tue  02 Oct 2018 01:57:51 +0200;"yvan";"m3";"743992";"e+";"40 GeV";;;"started";;"6.3";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.53     293.85 "
25329;Tue  02 Oct 2018 01:48:35 +0200;"SPS_ZOZO10_2018";;"743991";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25328;Tue  02 Oct 2018 01:32:12 +0200;"yvan";"m3";"743990";"e+";"40 GeV";;;"started";;"6.2";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.38     293.95 "
25327;Tue  02 Oct 2018 00:34:47 +0200;"yvan";"m3";"743989";"e+";"40 GeV";;;"started";;"6.1";"2 % SF6 5% CO2 93% TFE";;;"DB=Dome_42chambres_Reference_v4_266 
          P          T  
     968.77     294.05 "
25326;Tue  02 Oct 2018 00:18:21 +0200;"SPS_ZOZO10_2018";;"743988";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25325;Mon  01 Oct 2018 23:46:52 +0200;"SPS_ZOZO10_2018";;"743987";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25324;Mon  01 Oct 2018 23:07:31 +0200;"SPS_ZOZO10_2018";;"743986";"e+";"40 GeV";;;"started";;"6.4";;;;"DB=Dome_42chambres_Reference_v4_266 

Detector is crazy noisy, acq time at 13ms at 6.4kV
https://www.youtube.com/watch?v=CoB36zxT940"
25323;Mon  01 Oct 2018 23:03:44 +0200;"SPS_ZOZO10_2018";;"743985";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25322;Mon  01 Oct 2018 22:58:25 +0200;"SPS_ZOZO10_2018";;"743984";;;;;"started";;;;;;"DB=Dome_42chambres_Reference_v4_266 "
25321;Mon  01 Oct 2018 22:24:32 +0200;"SPS_ZOZO10_2018";;"743983";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25320;Mon  01 Oct 2018 20:52:27 +0200;"SPS_ZOZO10_2018";;"743982";;;;;"started";;;;;"Bad data";"DB=Dome_42chambres_Reference_v4_266 "
25319;Mon  01 Oct 2018 20:32:05 +0200;"SPS_ZOZO10_2018";;"743981";;;;;"started";;;;;"Bad data";"<p>- keep original text -</p>

<p>Test synchro ecal</p>"
25318;Mon  01 Oct 2018 20:30:06 +0200;"SPS_ZOZO10_2018";;"743980";;;;;"started";;;;;"Bad data";"<p>- keep original text -</p>

<p>Test synchro ecal</p>"
